kind,name,latitude,longitude,color
避難所,浜山小学校,34.6577497,135.1662009,#ff00ff
避難所,吉田中学校,34.6521824,135.1711849,#ff00ff
避難所,高齢者ケアセンターひょうご,34.6926209,135.1409349,#ff00ff
避難所,鵯台中学校,34.6940922,135.119395,#ff00ff
避難所,ひよどり台小学校,34.6978361,135.1248861,#ff00ff
避難所,星和台中学校,34.7191089,135.1285742,#ff00ff
避難所,星和台小学校,34.7238111,135.123755,#ff00ff
避難所,鈴蘭台中学校,34.7293744,135.1325319,#ff00ff
避難所,北五葉小学校,34.7305658,135.1364567,#ff00ff
避難所,藍那小河地域福祉センター,34.73451444,135.1130516,#ff00ff
避難所,君影小学校,34.7143622,135.1362431,#ff00ff
避難所,南五葉小学校,34.7220808,135.1335958,#ff00ff
避難所,鈴蘭台小学校,34.7253611,135.1409536,#ff00ff
避難所,小部小学校,34.7296452,135.1481373,#ff00ff
避難所,小部中学校,34.7304383,135.1552522,#ff00ff
避難所,小部東小学校,34.7277472,135.1570161,#ff00ff
避難所,泉台小学校,34.7384094,135.1374203,#ff00ff
避難所,桜の宮小学校,34.7405872,135.1544244,#ff00ff
避難所,桜の宮中学校,34.7381208,135.1598575,#ff00ff
避難所,大原中学校,34.7459253,135.1439031,#ff00ff
避難所,桂木小学校,34.7478194,135.14575,#ff00ff
避難所,甲緑小学校,34.74457,135.1501775,#ff00ff
避難所,箕谷小学校,34.7582989,135.1494689,#ff00ff
避難所,広陵小学校,34.7484919,135.1652094,#ff00ff
避難所,広陵中学校,34.749419,135.1698603,#ff00ff
避難所,筑紫が丘小学校,34.7442508,135.1626847,#ff00ff
避難所,山田中学校,34.7631097,135.15656,#ff00ff
避難所,谷上小学校,34.763356,135.1695683,#ff00ff
避難所,山田小学校,34.7655384,135.1315793,#ff00ff
避難所,花山小学校,34.765207,135.1851184,#ff00ff
避難所,大池中学校,34.7722335,135.1959735,#ff00ff
避難所,大池小学校,34.7721855,135.1985989,#ff00ff
避難所,六甲が丘会館,34.7794996,135.2000142,#ff00ff
避難所,唐櫃中学校,34.7849856,135.2116828,#ff00ff
避難所,唐櫃小学校,34.789835,135.2140461,#ff00ff
避難所,神戸北高校,34.7884603,135.2166767,#ff00ff
避難所,有馬小学校,34.8009372,135.2484678,#ff00ff
避難所,五社ふれあい館,34.8051587,135.2153928,#ff00ff
避難所,有馬中学校,34.8096414,135.2264669,#ff00ff
避難所,ありの台小学校,34.814105,135.229927,#ff00ff
避難所,藤原台小学校,34.8128017,135.2081294,#ff00ff
避難所,有野小学校,34.8206678,135.2178647,#ff00ff
避難所,有野中学校,34.8220619,135.214115,#ff00ff
避難所,有野北中学校,34.8297614,135.2231308,#ff00ff
避難所,ＪＡ兵庫六甲（神戸北文化センター）,34.8266315,135.2261756,#ff00ff
避難所,西山小学校,34.8388828,135.2182786,#ff00ff
避難所,西二郎集会所,34.837994,135.2270181,#ff00ff
避難所,道場小学校,34.86956563,135.2324854,#ff00ff
避難所,生野自治会館,34.866292,135.250965,#ff00ff
避難所,平田自治会館,34.8514614,135.2390834,#ff00ff
避難所,生野高原安心コミュニティプラザ,34.84819916,135.2709696,#ff00ff
避難所,八多小・中学校,34.8225998,135.1956558,#ff00ff
避難所,中公民館,34.849362,135.216607,#ff00ff
避難所,大沢小・中学校,34.8550778,135.1651806,#ff00ff
避難所,上大沢ふれあい会館,34.8488791,135.1836861,#ff00ff
避難所,長尾小学校,34.8657092,135.1944764,#ff00ff
避難所,岩谷公会堂,34.8836095,135.1733832,#ff00ff
避難所,鹿の子台小学校,34.8610031,135.2183289,#ff00ff
避難所,北神戸中学校,34.8629167,135.22287,#ff00ff
避難所,好徳小学校,34.8224556,135.1501956,#ff00ff
避難所,淡河中学校,34.8195472,135.1240617,#ff00ff
避難所,淡河小学校,34.8163308,135.1021525,#ff00ff
避難所,室内小学校,34.6734728,135.1543644,#ff00ff
避難所,長田公民館,34.6697571,135.1545541,#ff00ff
避難所,夢野台高校,34.6770833,135.1534672,#ff00ff
避難所,名倉小学校,34.6799497,135.1479261,#ff00ff
避難所,丸山中学校,34.6780025,135.1487342,#ff00ff
避難所,雲雀丘中学校,34.6915231,135.1343131,#ff00ff
避難所,丸山ひばり小学校,34.686435,135.1375906,#ff00ff
避難所,総合療育センター,34.6833695,135.1400806,#ff00ff
避難所,丸山コミュニティ・センター,34.685991,135.1409072,#ff00ff
